都道府県,名産1,名産2,名産3,名産4,名産5
北海道,夕張メロン,ジンギスカン,毛ガニ,ラベンダー,まりも
青森県,りんご,大間のマグロ,にんにく,ねぶた山車,津軽塗
岩手県,わんこそば,南部鉄器,前沢牛,龍泉洞の水,盛岡冷麺
宮城県,仙台牛,笹かまぼこ,牛タン,ずんだ餅,伊達政宗
秋田県,きりたんぽ,なまはげ,ハタハタ,比内地鶏,ババヘラアイス
山形県,さくらんぼ,米沢牛,玉こんにゃく,ラ・フランス,将棋の駒
福島県,あかつき桃,喜多方ラーメン,会津漆器,いかにんじん,ネギそば
茨城県,納豆,アンデスメロン,あんこう,干し芋,印籠
栃木県,とちおとめ,宇都宮餃子,眠り猫,湯葉,かんぴょう
群馬県,下仁田ねぎ,焼きまんじゅう,草津温泉,コンニャク,上毛三山
埼玉県,草加せんべい,狭山茶,ねぎみそだれ,十万石まんじゅう,鉄道博物館
千葉県,ピーナッツ,落花生味噌,ぬれ煎餅,房総びわ,TDR
東京都,もんじゃ焼き,雷おこし,江戸切子,佃煮,東京タワー
神奈川県,湘南しらす,シウマイ,中華街,江ノ電,箱根温泉卵
新潟県,コシヒカリ,笹団子,日本酒,のっぺい汁,南蛮エビ
富山県,ホタルイカ,ます寿司,立山連峰,薬売り,昆布締め
石川県,加賀野菜,金箔,和菓子,輪島塗,能登の牡蠣
福井県,越前ガニ,越前そば,恐竜,羽二重餅,若狭塗
山梨県,ぶどう,ほうとう,信玄餅,富士山,宝石
長野県,野沢菜,おやき,信州そば,リンゴ,木曽漆器
岐阜県,飛騨牛,さるぼぼ,鮎,高山ラーメン,白川郷
静岡県,お茶,うなぎパイ,富士宮やきそば,しらす,わさび
愛知県,味噌カツ,きしめん,手羽先,えびふりゃあ,金シャチ
三重県,松阪牛,伊勢海老,赤福,真珠,熊野古道
滋賀県,鮒寿司,近江牛,信楽たぬき,ナマズ,でっち羊羹
京都府,八つ橋,京野菜,宇治抹茶,舞妓,清水焼
大阪府,たこ焼き,串カツ,豚まん,お好み焼き,通天閣
兵庫県,神戸牛,明石焼き,淡路玉ねぎ,洋菓子,姫路城
奈良県,柿の葉寿司,奈良漬,鹿せんべい,大仏,三輪そうめん
和歌山県,南高梅,みかん,金山寺味噌,まぐろ,熊野古道
鳥取県,らっきょう,梨,松葉ガニ,すなば珈琲,白うさぎ
島根県,出雲そば,のどぐろ,石見銀山,勾玉,八岐大蛇
岡山県,白桃,きびだんご,マスカット,備前焼,デニム
広島県,牡蠣,もみじ饅頭,尾道ラーメン,レモン,原爆ドーム
山口県,ふぐ,瓦そば,錦帯橋,夏みかん,れんこん
徳島県,すだち,阿波尾鶏,なると金時,たらいうどん,阿波踊り
香川県,讃岐うどん,オリーブ,骨付鳥,和三盆,直島アート
愛媛県,みかん,じゃこ天,タルト,今治タオル,道後温泉
高知県,かつお,文旦,皿鉢料理,よさこい,土佐犬
福岡県,明太子,とんこつラーメン,通りもん,久留米絣,屋台
佐賀県,呼子のイカ,佐賀牛,有田焼,竹崎カニ,シシリアンライス
長崎県,カステラ,ちゃんぽん,トルコライス,五島うどん,ハウステンボス
熊本県,馬刺し,からし蓮根,スイカ,いきなり団子,くまモン
大分県,とり天,かぼす,だんご汁,別府温泉,関サバ
宮崎県,マンゴー,チキン南蛮,日向夏,地鶏,高千穂峡
鹿児島県,黒豚,さつまいも,黒酢,桜島,白熊アイス
沖縄県,ゴーヤ,シークヮーサー,ソーキそば,サーターアンダギー,シーサー
