"g10-001","挨","アイ",
"g10-002","曖","アイ",
"g10-003","宛",,"あ"
"g10-004","嵐",,"あらし"
"g10-005","畏","イ","おそ"
"g10-006","萎","イ","な"
"g10-007","椅","イ",
"g10-008","彙","イ",
"g10-009","咽","イン",
"g10-010","淫","イン","みだ"
"g10-011","唄",,"うた"
"g10-012","鬱","ウツ",
"g10-013","怨","エン",
"g10-014","艶","エン","つや"
"g10-015","旺","オウ",
"g10-016","臆","オク",
"g10-017","俺",,"おれ"
"g10-018","苛","カ",
"g10-019","牙","ガ","きば"
"g10-020","瓦","ガ","かわら"
"g10-021","楷","カイ",
"g10-022","潰","カイ","つぶ"
"g10-023","諧","カイ",
"g10-024","崖","ガイ","がけ"
"g10-025","蓋","ガイ","ふた"
"g10-026","骸","ガイ",
"g10-027","柿",,"かき"
"g10-028","顎","ガク","あご"
"g10-029","葛","カツ","くず"
"g10-030","釜",,"かま"
"g10-031","鎌",,"かま"
"g10-032","韓","カン",
"g10-033","玩","ガン",
"g10-034","伎","キ",
"g10-035","亀","キ","かめ"
"g10-036","毀","キ",
"g10-037","畿","キ",
"g10-038","臼","キュウ","うす"
"g10-039","巾","キン",
"g10-040","僅","キン","わず"
"g10-041","錦","キン","にしき"
"g10-042","惧","グ",
"g10-043","串",,"くし"
"g10-044","窟","クツ",
"g10-045","詣","ケイ","もう"
"g10-046","憬","ケイ",
"g10-047","稽","ケイ",
"g10-048","隙","ゲキ","すき"
"g10-049","桁",,"けた"
"g10-050","挙","ケン","こぶし"
"g10-051","鍵","ケン","かぎ"
"g10-052","舷","ゲン",
"g10-053","股","コ","また"
"g10-054","虎","コ","とら"
"g10-055","錮","コ",
"g10-056","勾","コウ",
"g10-057","梗","コウ",
"g10-058","喉","コウ","のど"
"g10-059","乞",,"こ"
"g10-060","傲","ゴウ",
"g10-061","駒",,"こま"
"g10-062","頃",,"ころ"
"g10-063","痕","コン","あと"
"g10-064","沙","サ",
"g10-065","挫","ザ",
"g10-066","采","サイ",
"g10-067","塞","サイ","ふさ"
"g10-068","柵","サク",
"g10-069","刹","セツ",
"g10-070","拶","サツ",
"g10-071","斬","ザン","き"
"g10-072","恣","シ",
"g10-073","摯","シ",
"g10-074","餌","ジ","えさ"
"g10-075","𠮟","シツ","しか"
"g10-076","疾","シツ",
"g10-077","腫","シュ","は"
"g10-078","呪","ジュ","のろ"
"g10-079","袖","シュウ","そで"
"g10-080","羞","シュウ",
"g10-081","蹴","シュウ","け"
"g10-082","憧","ショウ","あこが"
"g10-083","拭","ショク","ふ"
"g10-084","尻",,"しり"
"g10-085","芯","シン",
"g10-086","腎","ジン",
"g10-087","須","ス",
"g10-088","裾",,"すそ"
"g10-089","凄","セイ",
"g10-090","醒","セイ",
"g10-091","脊","セキ",
"g10-092","戚","セキ",
"g10-093","煎","セン","い"
"g10-094","羨","セン","うらや"
"g10-095","腺","セン",
"g10-096","詮","セン",
"g10-097","箋","セン",
"g10-098","膳","ゼン",
"g10-099","狙","ソ","ねら"
"g10-100","遡","ソ","さかのぼ"
"g10-101","曾","ソウ",
"g10-102","爽","ソウ","さわ"
"g10-103","瘦","ソウ","や"
"g10-104","踪","ソウ",
"g10-105","捉","ソク","とら"
"g10-106","遜","ソン",
"g10-107","汰","タ",
"g10-108","唾","ダ","つば"
"g10-109","堆","タイ",
"g10-110","載","サイ",
"g10-111","誰",,"だれ"
"g10-112","旦","タン",
"g10-113","綻","タン","ほころ"
"g10-114","緻","チ",
"g10-115","酎","チュウ",
"g10-116","貼","チョウ","は"
"g10-117","嘲","チョウ","あざけ"
"g10-118","捗","チョク",
"g10-119","椎","ツイ",
"g10-120","爪",,"つめ"
"g10-121","鶴",,"つる"
"g10-122","諦","テイ","あきら"
"g10-123","溺","デキ","おぼ"
"g10-124","填","テン",
"g10-125","妬","ト","ねた"
"g10-126","賭","ト","か"
"g10-127","藤","トウ","ふじ"
"g10-128","瞳","ドウ","ひとみ"
"g10-129","頓","トン",
"g10-130","貪","ドン","むさぼ"
"g10-131","丼",,"どんぶり"
"g10-132","那","ナ",
"g10-133","謎",,"なぞ"
"g10-134","鍋",,"なべ"
"g10-135","匂",,"にお"
"g10-136","虹",,"にじ"
"g10-137","捻","ネン",
"g10-138","罵","バ","ののし"
"g10-139","剝","ハク","は"
"g10-140","箸",,"はし"
"g10-141","氾","ハン",
"g10-142","汎","ハン",
"g10-143","斑","ハン",
"g10-144","眉","ビ","まゆ"
"g10-145","膝",,"ひざ"
"g10-146","肘",,"ひじ"
"g10-147","訃","フ",
"g10-148","蔽","ヘイ",
"g10-149","餅","ヘイ","もち"
"g10-150","璧","ヘキ",
"g10-151","蔑","ベツ","さげす"
"g10-152","哺","ホ",
"g10-153","蜂","ホウ","はち"
"g10-154","貌","ボウ",
"g10-155","頬",,"ほお"
"g10-156","睦","ボク",
"g10-157","勃","ボツ",
"g10-158","昧","マイ",
"g10-159","蜜","ミツ",
"g10-160","冥","メイ",
"g10-161","麺","メン",
"g10-162","冶","ヤ",
"g10-163","弥",,"や"
"g10-164","闇",,"やみ"
"g10-165","喩","ユ",
"g10-166","湧","ユウ","わ"
"g10-167","妖","ヨウ","あや"
"g10-168","瘍","ヨウ",
"g10-169","沃","ヨク",
"g10-170","拉","ラ",
"g10-171","辣","ラツ",
"g10-172","藍","ラン","あい"
"g10-173","璃","リ",
"g10-174","慄","リツ",
"g10-175","侶","リョ",
"g10-176","瞭","リョウ",
"g10-177","瑠","ル",
"g10-178","呂","ロ",
"g10-179","賂","ロ",
"g10-180","弄","ロウ","もてあそ"
"g10-181","籠","ロウ","かご"
"g10-182","麓","ロク","ふもと"
"g10-183","脇",,"わき"
