"g3-001","悪","アク","わる"
"g3-002","安","アン","やす"
"g3-003","暗","アン","くら"
"g3-004","医","イ",
"g3-005","委","イ","ゆだ"
"g3-006","意","イ",
"g3-007","育","イク","そだ"
"g3-008","員","イン",
"g3-009","院","イン",
"g3-010","飲","イン","の"
"g3-011","運","ウン","はこ"
"g3-012","泳","エイ","およ"
"g3-013","駅","エキ",
"g3-014","央","オウ",
"g3-015","横","オウ","よこ"
"g3-016","屋","オク","や"
"g3-017","温","オン","あたた"
"g3-018","化","カ","ば"
"g3-019","荷","カ","に"
"g3-020","界","カイ",
"g3-021","開","カイ","ひら"
"g3-022","階","カイ",
"g3-023","寒","カン","さむ"
"g3-024","感","カン",
"g3-025","漢","カン",
"g3-026","館","カン","やかた"
"g3-027","岸","ガン","きし"
"g3-028","起","キ","お"
"g3-029","期","キ",
"g3-030","客","キャク",
"g3-031","究","キュウ","きわ"
"g3-032","急","キュウ","いそ"
"g3-033","級","キュウ",
"g3-034","宮","キュウ","みや"
"g3-035","球","キュウ","たま"
"g3-036","去","キョ","さ"
"g3-037","橋","キョウ","はし"
"g3-038","業","ギョウ","わざ"
"g3-039","曲","キョク","ま"
"g3-040","局","キョク",
"g3-041","銀","ギン",
"g3-042","区","ク",
"g3-043","苦","ク","くる"
"g3-044","具","グ","そな"
"g3-045","君","クン","きみ"
"g3-046","係","ケイ","かかり"
"g3-047","軽","ケイ","かる"
"g3-048","血","ケツ","ち"
"g3-049","決","ケツ","き"
"g3-050","研","ケン","と"
"g3-051","県","ケン",
"g3-052","庫","コ",
"g3-053","湖","コ","みずうみ"
"g3-054","向","コウ","む"
"g3-055","幸","コウ","さいわ"
"g3-056","港","コウ","みなと"
"g3-057","号","ゴウ",
"g3-058","根","コン","ね"
"g3-059","祭","サイ","まつ"
"g3-060","皿",,"さら"
"g3-061","仕","シ","つか"
"g3-062","死","シ","し"
"g3-063","使","シ","つか"
"g3-064","始","シ","はじ"
"g3-065","指","シ","ゆび"
"g3-066","歯","シ","は"
"g3-067","詩","シ",
"g3-068","次","ジ","つぎ"
"g3-069","事","ジ","こと"
"g3-070","持","ジ","も"
"g3-071","式","シキ",
"g3-072","実","ジツ","み"
"g3-073","写","シャ","うつ"
"g3-074","者","シャ","もの"
"g3-075","主","シュ","ぬし"
"g3-076","守","シュ","まも"
"g3-077","取","シュ","と"
"g3-078","酒","シュ","さけ"
"g3-079","受","ジュ","う"
"g3-080","州","シュウ","す"
"g3-081","拾","シュウ","ひろ"
"g3-082","終","シュウ","お"
"g3-083","習","シュウ","なら"
