"g5-001","圧","アツ",
"g5-002","移","イ","うつ"
"g5-003","因","イン","よ"
"g5-004","永","エイ","なが"
"g5-005","営","エイ","いとな"
"g5-006","衛","エイ",
"g5-007","易","エキ","やさ"
"g5-008","益","エキ",
"g5-009","液","エキ",
"g5-010","演","エン",
"g5-011","応","オウ","こた"
"g5-012","往","オウ","ゆ"
"g5-013","桜","オウ","さくら"
"g5-015","可","カ",
"g5-016","仮","カ","かり"
"g5-017","価","カ","あたい"
"g5-018","河","カ","かわ"
"g5-019","過","カ","す"
"g5-021","快","カイ","こころよ"
"g5-022","解","カイ","と"
"g5-023","格","カク",
"g5-024","確","カク","たし"
"g5-025","額","ガク","ひたい"
"g5-026","刊","カン",
"g5-027","幹","カン","みき"
"g5-028","慣","カン","な"
"g5-029","眼","ガン","まなこ"
"g5-030","基","キ","もと"
"g5-031","寄","キ","よ"
"g5-032","規","キ",
"g5-033","技","ギ","わざ"
"g5-034","義","ギ",
"g5-035","逆","ギャク","さか"
"g5-036","久","キュウ","ひさ"
"g5-037","旧","キュウ",
"g5-038","居","キョ","い"
"g5-039","許","キョ","ゆる"
"g5-040","境","キョウ","さかい"
"g5-041","均","キン",
"g5-042","禁","キン",
"g5-043","句","ク",
"g5-045","経","ケイ","へ"
"g5-046","潔","ケツ","いさぎよ"
"g5-047","件","ケン",
"g5-049","険","ケン","けわ"
"g5-050","検","ケン",
"g5-051","限","ゲン","かぎ"
"g5-052","現","ゲン","あらわ"
"g5-053","減","ゲン","へ"
"g5-054","故","コ","ゆえ"
"g5-055","個","コ",
"g5-056","護","ゴ","まも"
"g5-057","効","コウ","き"
"g5-058","厚","コウ","あつ"
"g5-059","耕","コウ","たがや"
"g5-060","鉱","コウ",
"g5-061","構","コウ","かま"
"g5-062","興","コウ","おこ"
"g5-063","講","コウ",
"g5-064","混","コン","ま"
"g5-065","査","サ",
"g5-066","再","サイ","ふたた"
"g5-067","災","サイ","わざわ"
"g5-068","妻","サイ","つま"
"g5-069","採","サイ","と"
"g5-070","際","サイ","きわ"
"g5-071","在","ザイ","あ"
"g5-072","財","ザイ",
"g5-073","罪","ザイ","つみ"
"g5-074","雑","ザツ",
"g5-075","酸","サン","す"
"g5-076","賛","サン",
"g5-077","支","シ","ささ"
"g5-078","志","シ","こころざし"
"g5-079","枝","シ","えだ"
"g5-080","師","シ",
"g5-081","資","シ",
"g5-082","飼","シ","か"
"g5-083","示","ジ","しめ"
"g5-084","似","ジ","に"
"g5-085","識","シキ",
"g5-086","質","シツ",
"g5-087","舎","シャ",
"g5-088","謝","シャ","あやま"
"g5-089","授","ジュ","さず"
"g5-090","修","シュウ","おさ"
"g5-091","述","ジュッ","の"
"g5-092","術","ジュッ","すべ"
"g5-093","準","ジュン",
"g5-094","序","ジョ",
"g5-095","招","ショウ","まね"
"g5-097","証","ショウ","あかし"
"g5-098","条","ジョウ",
"g5-099","状","ジョウ",
"g5-100","常","ジョウ","つね"
"g5-101","情","ジョウ","なさ"
"g5-102","織","ショク","お"
"g5-103","職","ショク",
"g5-104","制","セイ",
"g5-105","性","セイ",
"g5-106","政","セイ","まつりごと"
"g5-107","勢","セイ","いきお"
"g5-108","精","セイ",
"g5-109","製","セイ",
"g5-110","税","ゼイ",
"g5-111","責","セキ","せ"
"g5-112","績","セキ",
"g5-113","接","セツ","つ"
"g5-114","設","セツ","もう"
"g5-116","絶","ゼツ","た"
"g5-118","祖","ソ",
"g5-119","素","ソ","もと"
"g5-120","総","ソウ","すべ"
"g5-121","造","ゾウ","つく"
"g5-122","像","ゾウ",
"g5-123","増","ゾウ","ま"
"g5-124","則","ソク","のっと"
"g5-125","測","ソク","はか"
"g5-126","属","ゾク",
"g5-127","率","リツ","ひと"
"g5-128","損","ソン","そこ"
"g5-130","貸","タイ","か"
"g5-131","態","タイ",
"g5-132","団","ダン",
"g5-133","断","ダン","ことわ"
"g5-134","築","チク","きず"
"g5-135","張","チョウ","は"
"g5-136","提","テイ","さ"
"g5-137","程","テイ","ほど"
"g5-138","適","テキ",
"g5-140","統","トウ","す"
"g5-141","銅","ドウ",
"g5-142","導","ドウ","みちび"
"g5-144","独","ドク","ひと"
"g5-145","任","ニン","まか"
"g5-146","燃","ネン","も"
"g5-147","能","ノウ",
"g5-148","破","ハ","やぶ"
"g5-149","犯","ハン","おか"
"g5-150","判","ハン",
"g5-151","版","ハン",
"g5-152","比","ヒ","くら"
"g5-153","肥","ヒ","こ"
"g5-154","非","ヒ","あら"
"g5-155","備","ビ","そな"
"g5-157","評","ヒョウ",
"g5-158","貧","ビン","まず"
"g5-159","布","フ","ぬの"
"g5-160","婦","フ",
"g5-162","武","ブ",
"g5-163","復","フク",
"g5-164","複","フク",
"g5-165","仏","ブツ","ほとけ"
"g5-166","編","ヘン","あ"
"g5-167","弁","ベン",
"g5-168","保","ホ","たも"
"g5-169","墓","ボ","はか"
"g5-170","報","ホウ","むく"
"g5-171","豊","ホウ","ゆた"
"g5-172","防","ボウ","ふせ"
"g5-173","貿","ボウ",
"g5-174","暴","ボウ","あば"
"g5-175","務","ム","つと"
"g5-176","夢","ム","ゆめ"
"g5-177","迷","メイ","まよ"
"g5-178","綿","メン","わた"
"g5-179","輸","ユ",
"g5-180","余","ヨ","あま"
"g5-182","容","ヨウ",
"g5-183","略","リャク",
"g5-184","留","リュウ","と"
"g5-185","領","リョウ",
"g5-014","囲","イ","かこ"
"g5-020","紀","キ",
"g5-044","喜","キ","よろこ"
"g5-048","救","キュウ","すく"
"g5-096","航","コウ",
"g5-115","告","コク","つ"
"g5-117","殺","サツ","ころ"
"g5-129","士","シ",
"g5-139","史","シ",
"g5-143","象","ショウ",
"g5-156","賞","ショウ",
"g5-161","貯","チョ",
"g5-181","停","テイ",
"g5-187","堂","ドウ",
"g5-188","銅","ドウ",
"g5-189","毒","ドク",
"g5-190","費","ヒ","つい"
"g5-191","粉","フン","こな"
"g5-192","脈","ミャク",
"g5-186","型","ケイ","かた"
"g5-193","歴","レキ",
"g5-194","得","トク","え"
