kanji,meaning,reading,example
引,ひっぱる こと,ひく,ドアを 引（ひ）いて あける。
羽,とりの つばさ,はね,大きな 羽（はね）が ふわり とぶ。
雲,そらに うかぶ わた,くも,雲（くも）が そらに うかぶ。
園,はなや きが ある ばしょ,その,花の 園（その）で あそぶよ。
遠,はなれて いる こと,とお,遠（とお）い 山が みえるよ。
何,なにかを たずねる こと,なに,何（なに）かできることをかんがえる。
科,学校の ぶんや,か,好きな 科（か）を えらんでね。
夏,あつい きせつ,なつ,夏（なつ）に 山（やま）へ 行（い）く。
家,すむ ところ,いえ,家（いえ）で ごはんを たべる。
歌,うたう こと,うた,歌（うた）を うたって みよう。
画,えを かく こと,が,白い 紙（かみ）に 画（が）を かく。
回,まわる こと,まわ,おもちゃを 回（まわ）して あそぶ。
会,あつまる こと,あ,みんなで 会（あ）って はなそう。
海,ひろい みず,うみ,海（うみ）で さかなを さがす。
絵,えを かざる こと,え,絵（え）に いろを ぬる
外,ほかの ばしょ,そと,外（そと）で かけっこをする。
角,かど や つの,つの,牛（うし）の 角（つの）を さわる。
楽,たのしい きもち,たのしい,友（とも）だちと 遊（あそ）ぶと 楽（たのしい）。
活,いきる こと,いきる,さかなが 水（みず）で 活（いき）る。
間,ひと と ひとの あいだ,あいだ,家（いえ）の 間（あいだ）を 通（とお）る。
丸,まるい かたち,まる,紙（かみ）に 丸（まる）を かく。
岩,おおきな いし,いわ,大（おお）きな 岩（いわ）に のぼる。
顔,目や 口が ある ところ,かお,笑（わら）う 顔（かお）を みる。
汽,きしゃの き,き,駅（えき）で 汽車（きしゃ）を まつ。
記,ことを かく こと,しる,紙（かみ）に おもった ことを 記（しる）す。
帰,もどってくること,かえ,家（いえ）に 帰（かえ）ってあそぶ。
弓,ゆみの こと,ゆみ,みんなで 弓（ゆみ）を ひく。
牛,うしの こと,うし,牛（うし）が 草（くさ）を たべる。
魚,さかなの こと,さかな,川（かわ）で 魚（さかな）を みつける。
京,みやこ,きょう,京（きょう）は 大（おお）きな まち。
強,つよい こと,つよ,強（つよ）い 風（かぜ）が 吹（ふ）く。
教,おしえる こと,おし,父（ちち）が 教（おし）えて くれる。
近,ちかい こと,ちか,家（いえ）の 近（ちか）くで あそぶ。
兄,あにの こと,あに,兄（あに）と いっしょにゲームをする
形,かたち,かたち,星（ほし）の 形（かたち）を 見（み）る。
計,はかる こと,はか,長（なが）さを 計（はか）る。
元,もとの こと,もと,元（もと）の 所（ところ）に もどる。
言,いう こと,いう,何（なに）を 言（い）う？
原,ひろい ばしょ,はら,野（の）原（はら）で あそぶ。
戸,とびら,と,戸（と）を 開（あ）けて みる。
古,ふるい もの,ふる,古（ふる）い 本（ほん）を よむ。
午,ひるの まえ,ひる,午（ひる）まえに あそぶ。
後,あとの じかん,あと,後（あと）の じかんは おやつだ。
語,ことば,かた,ことばを 語（かた）る。
工,ものを つくる こと,こう,工作（こうさく）を する。
公,おおやけの こと,おおやけ,学校（がっこう）の 公（おおやけ）を 大事（だいじ）にしよう。
広,ひろい こと,ひろ,広（ひろ）い 部屋（へや）で あそぶ。
交,まざる こと,まじ,色（いろ）が 交（まじ）って 虹（にじ）が できる。
光,ひかり,ひかり,光（ひかり）が 水（みず）に あたる。
考,かんがえる こと,かんがえ,考（かんがえ）を 話（はな）して みる。
行,まちや がっこうへ いく こと,いく,学校（がっこう）へ 行（い）く。
高,たかい こと,たか,山（やま）が 高（たか）い。
黄,きいろい いろ,きいろい,庭（にわ）の 花（はな）が きいろい。
合,いっしょに なる こと,あ,二人（ふたり）が 合（あ）う。
谷,やまの あな,たに,谷（たに）に 小川（おがわ）が ある。
国,くに,くに,国（くに）を きれいに しよう。
黒,くろい いろ,くろ,黒（くろ）い しまうま が いる。
今,いまの とき,いま,今（いま）は あさの じかん。
才,とし,さい,今年（ことし）は 二（に）才（さい）です。
細,ほそい こと,ほそ,ほそい ロープを わたる。
作,つくる こと,つく,紙（かみ）で 花（はな）を 作（つく）る。
算,かずを かぞえる こと,さん,さんすうの しゅくだいを 算（さん）する。
止,とまる こと,と,車（くるま）が 止（と）まる。
市,まち,いち,市（いち）で おみせを みる。
矢,とがった もの,や,弓（ゆみ）で 矢（や）を とばす。
姉,おとうとより としうえの きょうだい,あね,姉（あね）が きょうだいと あそぶ。
思,かんがえる こと,おも,本（ほん）を 読（よ）んで 思（おも）う。
紙,うすい もの,かみ,紙（かみ）に おえかき する。
寺,おてら,てら,寺（てら）で おまいり する。
自,じぶん,じ,自（じ）ぶんで 書（か）く。
時,とき,とき,家（いえ）に 帰（かえ）る 時（とき）です。
室,へや,むろ,大きな 室（むろ）に 入（はい）る。
社,やしろ,やしろ,小さな 社（やしろ）に おまいり する。
弱,よわい こと,よわ,弱（よわ）い 風（かぜ）が 吹（ふ）く。
首,くび,くび,首（くび）を かしげる。
秋,あきの きせつ,あき,秋（あき）に つきが きれい。
週,いっしゅうかんの あいだ,しゅう,今週（こんしゅう） 学校（がっこう）へ 行（い）く。
春,あたたかい きせつ,はる,春（はる）に 花（はな）が さく。
書,かく こと,か,本（ほん）に 名前（なまえ）を 書（か）く。
少,すくない こと,すく,少（すく）ない りんごを もらう。
場,ひろい ばしょ,ば,広い 場（ば）で あそぶ。
色,いろ,いろ,赤（あか）い 色（いろ）の えのぐ。
食,たべる こと,たべ,ごはんを 食（たべ）る。
心,こころ,こころ,心（こころ）が あたたかく なる。
新,あたらしい こと,あたらしい,新（あたらしい）本（ほん）を よむ。
親,おやの こと,おや,親（おや）と 手（て）を つなぐ。
図,えを かく こと,ず,紙（かみ）に 図（ず）を かく。
数,かずを かぞえる こと,すう,数（すう）を かぞえて みる。
西,にしの ほう,にし,西（にし）に かぜが ふく。
声,こえの こと,こえ,声（こえ）を だして うたう。
星,よぞらに かがやく もの,ほし,夜空（よぞら）の 星（ほし）が きれい。
晴,そらが はれる こと,はれ,晴（はれ）の 空（そら）が 青（あお）い。
切,きる こと,き,紙（かみ）を 切（き）って つくる。
雪,しろい つぶ,ゆき,雪（ゆき）が しんしんと 降（ふ）る。
船,うみを はしる もの,ふね,船（ふね）で 遠足（えんそく）へ 行（い）く。
