Column1,Column2,Column3,Column4,,,,
g4-001,愛,アイ,,愛,思いやり,あい,母の日に愛（あい）をこめて花束をおくった。
g4-002,案,アン,,案,考え,あん,運動会の案（あん）を友だちと相談して決めた。
g4-003,以,イ,,以,～から,い,雨（あめ）がやんだ以（い）から公園で遊んだ。
g4-004,衣,イ,ころも,衣,衣服,ころも,人形（にんぎょう）の衣（ころも）をそっとたたんだ。
g4-005,位,イ,くらい,位,順位,くらい,動物（どうぶつ）の数を比べて一（いち）位（くらい）を決めた。
g4-006,茨,シ,いばら,茨,とげ,いばら,野原(のはら)の茨(いばら)に気をつけて歩いた。
g4-008,印,イン,しるし,印,しるし,しるし,手紙(てがみ)の印(しるし)をかくした。
g4-009,英,エイ,,英,英語,えい,英語(えいご)の教室(きょうしつ)であいさつした。
g4-010,栄,エイ,さか;は,栄,栄光,えいこう,運動会(うんどうかい)で栄光(えいこう)をねらった。
g4-011,塩,エン,しお,塩,しお,しお,塩(しお)むすびを公園(こうえん)で食べた。
g4-012,億,オク,,億,百万の百倍,おく,町(まち)のみんなで1億(いちおく)円(えん)を集めた。
g4-013,加,カ,くわ,加,たすこと,か,クラスの友だちと運動会(うんどうかい)に参加(さんか)した。
g4-014,果,カ,は,果,木になる実,か,おやつに果物(くだもの)をみんなで食べた。
g4-015,貨,カ,,貨,品物を運ぶこと,か,貨物(かもつ)列車(れっしゃ)が町(まち)を通った。
g4-016,課,カ,,課,授業のくぎり,か,放課後(ほうかご)に図書室(としょしつ)で本を読んだ。
g4-017,芽,ガ,め,芽,植物の芽,め,新芽(しんめ)が日の光(ひかり)を浴びている。
g4-018,改,カイ,あらた,改,変える,かい,改札(かいさつ)口で切符(きっぷ)を見せた。
g4-019,械,カイ,,械,機械,かい,機械(きかい)の音(おと)が教室(きょうしつ)にひびいた。
g4-020,害,ガイ,,害,害すること,がい,秋(あき)の害虫(がいちゅう)が木(き)の実(み)を食べた。
g4-021,街,ガイ;カイ,まち,街,町の通り,まち,商店街(しょうてんがい)で街(まち)を見て回った。
g4-022,各,カク,おのおの,各,それぞれ,かく,各(かく)自で作ったおいしい弁当を運動会で仲よく食べた。  
g4-023,覚,カク,おぼ;さ,覚,覚えること,おぼ,国語(こくご)のテストを覚(おぼ)えて友だちに伝えた。  
g4-024,完,カン,,完,終わること,かん,夏休みの絵を完成(かんせい)させて先生に見せた。  
g4-025,官,カン,,官,政府の仕事,かん,母といっしょに官(かん)の仕事を見学会で学んだ。  
g4-026,管,カン,くだ,管,おさえること,かん,学級(がっきゅう)の図書係で本の管理(かんり)をしっかりした。  
g4-027,関,カン,せき;かか,関,つながり,かん,学校（がっこう）と家（いえ）の関（かん）係を考えた。  
g4-028,観,カン,み,観,見ること,かん,夏休みの観（かん）察会で虫（むし）の動きを見た。  
g4-029,願,ガン,ねが,願,願うこと,がん,運動会の願（がん）い事を友だちに書いた。  
g4-030,希,キ,,希,まれ,き,希（き）望で公園（こうえん）へ行った。  
g4-031,季,キ,,季,きせつ,き,学校の行事で季（き）節を感じた。  
g4-034,旗,キ,はた,旗,目印,はた,運動会(うんどうかい)の旗(はた)をみんなでせいれつした。  
g4-035,器,キ,うつわ,器,うつわ,うつわ,祖母(そぼ)の家(いえ)で食器(しょっき)をていねいにならべた。  
g4-036,機,キ,はた,機,機械,き,新(あたら)しい機械(きかい)の音(おと)におどろいた。  
g4-037,議,ギ,,議,話し合うこと,ぎ,学級(がっきゅう)会議(かいぎ)で意見(いけん)を話(はな)した。  
g4-038,求,キュウ,もと,求,求めること,もと,受験(じゅけん)の合格(ごうかく)を求(もと)めて努力(どりょく)した。  
g4-039,泣,キュウ,な,泣,涙を流す,な,新しい本を読んで大泣き（おおなき）した。  
g4-041,給,キュウ,,給,食べ物を与える,きゅう,給食（きゅうしょく）の時間（じかん）をみんなでたのしんだ。  
g4-042,挙,キョ,あ,挙,手をあげる,きょ,学級（がっきゅう）の手（て）を挙（あ）げて発表（はっぴょう）した。  
g4-043,漁,ギョ;リョウ,,漁,魚をとる,ぎょ,漁船（ぎょせん）に乗（の）って川（かわ）を見（み）にいった。  
g4-044,共,キョウ,とも,共,一緒に行うこと,きょう,みんなで共同作業（きょうどうさぎょう）をやりとげた。  
g4-045,協,キョウ,,協,協力すること,きょう,運動会(うんどうかい)で協力(きょうりょく)して玉入(たまい)れをがんばった。  
g4-046,鏡,キョウ,かがみ,鏡,うつし見る道具,かがみ,手鏡(てかがみ)で髪(かみ)をきれいに整(ととの)えた。  
g4-047,競,キョウ;ケイ,きそ;せ,競,争いあうこと,きょう,運動会(うんどうかい)の競争(きょうそう)で友だちに負(ま)けずに走(はし)った。  
g4-048,極,キョク;ゴク,きわ,極,きわめること,きわ,問題(もんだい)を解(と)く力を極(きわ)めようと勉強した。  
g4-049,訓,クン,,訓,教えしらせること,くん,手紙(てがみ)の訓読み(くんよみ)を先生(せんせい)に教(おし)わった。  
g4-050,軍,グン,,軍,軍手,ぐんて,運動会で軍手(ぐんて)をはめて競技に出た。  
g4-051,郡,グン,,郡,郡,ぐん,市と郡(ぐん)のちがいをみんなで学んだ。  
g4-052,径,ケイ,,群,群れ,むれ,野原の鳥の群れ(むれ)が空をとんだ。  
g4-054,景,ケイ,,径,小径,こみち,公園の小径(こみち)を子どもが歩いた。  
g4-055,芸,ゲイ,,経,経る,へる,長い休みを経(へ)て学校へ戻った日を思い出した。  
g4-056,欠,ケツ,か,欠,足りないこと,けつ,運動会の欠席(けっせき)連絡を書いた。  
g4-057,結,ケツ,むす;ゆ,結,むすぶこと,けつ,運動会の新チーム結成(けっせい)にわくわくした。  
g4-058,建,ケン;コン,た,建,たてること,けん,学校に新しい建物(たてもの)ができたのを見た。  
g4-059,健,ケン,すこ,健,すこやかなさま,けん,毎朝健康(けんこう)体操(たいそう)を楽しんだ。  
g4-060,験,ケン;ゲン,,験,ためすこと,けん,初めての経験(けいけん)で笑顔(えがお)になった。  
g4-061,固,コ,かた,固,固いこと,かたい,約束（やくそく）を固（かた）く守った。  
g4-062,功,コウ;ク,,功,成功,こう,試合の成功（せいこう）を喜んだ。  
g4-063,好,コウ,す;この,好,好物,こうぶつ,好物（こうぶつ）のりんごをみんなで分けた。  
g4-064,候,コウ,そうろう,候,天候,てんこう,運動会（うんどうかい）の天候（てんこう）が晴れた。  
g4-066,康,コウ,,康,健康,けんこう,健康（けんこう）な体を大切にした。  
g4-068,差,サ,さ,差,ちがい,さ,公園と家の温度差(おんどさ)を比べた。  
g4-069,菜,サイ,な,菜,やさい,やさい,夕食(ゆうしょく)に野菜(やさい)をたくさん食べた。  
g4-070,最,サイ,もっと,最,もっとも,もっとも,新年(しんねん)の最初(さいしょ)の日をみんなで祝った。  
g4-071,材,ザイ,,材,ざいりょう,ざい,遊具(ゆうぐ)を木材(もくざい)で作ってもらった。  
g4-072,昨,サク,,昨,きのう,きのう,昨日(きのう)の運動会(うんどうかい)は楽しかった。  
g4-073,札,サツ,ふだ,札,名札,ふだ,運動会で名札(なふだ)を胸にかけて友だちの名前を見つけた。  
g4-074,刷,サツ,す,刷,印刷,いんさつ,学級新聞(がっきゅうしんぶん)を印刷(いんさつ)してみんなに渡した。  
g4-076,察,サツ,,察,観察,かんさつ,理科の授業で虫を観察(かんさつ)して絵日記を書いた。  
