都道府県,追加名産1,追加名産2,追加名産3,追加名産4,追加名産5
北海道,トウモロコシ,バター,スープカレー,ハスカップ,シシャモ
青森県,貝焼き味噌,しじみ,ヒバ,せんべい汁,馬肉
岩手県,南部せんべい,岩手短角牛,ひっつみ,山ぶどう,あわび
宮城県,はらこ飯,三陸ワカメ,ホヤ,竹炭,仙台味噌
秋田県,じゅんさい,稲庭うどん,ハタハタ寿司,秋田犬,比内地鶏の卵
山形県,だし（郷土料理）,米沢ラーメン,紅花,冷やしラーメン,月山筍
福島県,ままどおる,柏餅,円盤餃子,鯉料理,三春駒
茨城県,あんこう鍋,しらす干し,レンコン,水戸梅,ローズポーク
栃木県,レモン牛乳,佐野ラーメン,しもつかれ,にら,益子焼
群馬県,だるま,尾瀬の水,空っ風,こんにゃくゼリー,
埼玉県,ゼリーフライ,五家宝,深谷ねぎ,狭山茶饅頭,川越いも
千葉県,びわゼリー,太巻き寿司,房州ひじき,千葉の梨,しょうゆ
東京都,東京ばな奈,雷門提灯,人形焼,深川めし,佃島の干物
神奈川県,横須賀カレー,鎌倉野菜,湘南ゴールド,葉山牛,海軍コロッケ
新潟県,へぎそば,鮭,バスセンターのカレー,三角だるま,雪下にんじん
富山県,ブリ,鱒の寿し,富山ブラックラーメン,白エビ,立山杉
石川県,治部煮,甘エビ,のどぐろ,金沢カレー,能登塩
福井県,ソースカツ丼,水ようかん,越前焼,若狭ぐじ,へしこ
山梨県,ワイン,ほうとう南瓜,あけの金時,信玄桃,ぶどうジュース
長野県,おやき（高菜）,わさび漬け,りんごチップス,山賊焼き,信州みそ
岐阜県,栗きんとん,朴葉味噌,鶏ちゃん,高山スイーツ,下呂温泉まんじゅう
静岡県,桜えび,黒はんぺん,静岡おでん,わさび漬け,クラウンメロン
愛知県,天むす,守口漬け,あんかけスパ,どて煮,鬼まんじゅう
三重県,へんば餅,伊勢うどん,てこね寿司,志摩のアワビ,あおさのり
滋賀県,赤こんにゃく,近江ちゃんぽん,鮎ずし,日野菜,鮒ずしの頭
京都府,生八つ橋,千枚漬け,湯葉,丹波栗,加茂ナス
大阪府,イカ焼き,くいだおれ人形,岩おこし,紅しょうが天,カレーうどん
兵庫県,淡路ビーフ,炭酸せんべい,出石そば,たつの醤油,はばのり
奈良県,飛鳥鍋,柿ジャム,三輪素麺,奈良漬チーズ,吉野葛
和歌山県,うめぼし,和歌山ラーメン,しらす丼,みかんジュース,めはり寿司
鳥取県,砂丘らっきょう,あごちくわ,いかの塩辛,ばばちゃん,牛骨ラーメン
島根県,しじみ,うずめ飯,赤てん,寒シマメ,宍道湖の白魚
岡山県,ままかり,祭りずし,シャインマスカット,鰆,黄ニラ
広島県,広島菜漬け,お好み村,つけ麺,因島のはっさく,レモンケーキ
山口県,ワカメ,とらふぐ皮,ういろう,夏みかんゼリー,クジラ
徳島県,フィッシュカツ,阿波和紙,半田そうめん,藍染,柚子
香川県,しょうゆ豆,おいり,骨付鶏,香川本鷹,直島のカボチャ
愛媛県,伊予柑,太刀魚,みきゃんグミ,みかんジュースゼリー,砥部焼
高知県,文旦ゼリー,清水サバ,ゆず,宗田節,田舎寿司
福岡県,ごぼう天うどん,八女茶,梅ヶ枝餅,水炊き,焼きカレー
佐賀県,丸ぼうろ,いかしゅうまい,呼子の干物,佐賀のり,伊万里牛
長崎県,びわ,卓袱料理,長崎ラーメン,クジラ料理,平戸牛
熊本県,だご汁,太平燕,馬油,いきなり団子（栗）,デコポン
大分県,吉野鶏めし,中津からあげ,椎茸,かぼすポン酢,湯布院プリン
宮崎県,冷や汁,レタス巻き,きんかん,マンゴーゼリー,飫肥天
鹿児島県,黒糖,とんこつ,知覧茶,鶏飯,焼酎
沖縄県,ラフテー,島らっきょう,ちんすこう,紅芋,海ぶどう
