"g4-001","愛","アイ",
"g4-002","案","アン",
"g4-003","以","イ",
"g4-004","衣","イ","ころも"
"g4-005","位","イ","くらい"
"g4-006","茨","シ","いばら"
"g4-008","印","イン","しるし"
"g4-009","英","エイ",
"g4-010","栄","エイ","さか"
"g4-011","塩","エン","しお"
"g4-012","億","オク",
"g4-013","加","カ","くわ"
"g4-014","果","カ","は"
"g4-015","貨","カ",
"g4-016","課","カ",
"g4-017","芽","ガ","め"
"g4-018","改","カイ","あらた"
"g4-019","械","カイ",
"g4-020","害","ガイ",
"g4-021","街","ガイ","まち"
"g4-022","各","カク","おのおの"
"g4-023","覚","カク","おぼ"
"g4-024","完","カン",
"g4-025","官","カン",
"g4-026","管","カン","くだ"
"g4-027","関","カン","せき"
"g4-028","観","カン","み"
"g4-029","願","ガン","ねが"
"g4-030","希","キ",
"g4-031","季","キ",
"g4-034","旗","キ","はた"
"g4-035","器","キ","うつわ"
"g4-036","機","キ","はた"
"g4-037","議","ギ",
"g4-038","求","キュウ","もと"
"g4-039","泣","キュウ","な"
"g4-041","給","キュウ",
"g4-042","挙","キョ","あ"
"g4-043","漁","ギョ",
"g4-044","共","キョウ","とも"
"g4-045","協","キョウ",
"g4-046","鏡","キョウ","かがみ"
"g4-047","競","キョウ","きそ"
"g4-048","極","キョク","きわ"
"g4-049","訓","クン",
"g4-050","軍","グン",
"g4-051","郡","グン",
"g4-052","径","ケイ",
"g4-054","景","ケイ",
"g4-055","芸","ゲイ",
"g4-056","欠","ケツ","か"
"g4-057","結","ケツ","むす"
"g4-058","建","ケン","た"
"g4-059","健","ケン","すこ"
"g4-060","験","ケン",
"g4-061","固","コ","かた"
"g4-062","功","コウ",
"g4-063","好","コウ","す"
"g4-064","候","コウ","そうろう"
"g4-066","康","コウ",
"g4-068","差","サ","さ"
"g4-069","菜","サイ","な"
"g4-070","最","サイ","もっと"
"g4-071","材","ザイ",
"g4-072","昨","サク",
"g4-073","札","サツ","ふだ"
"g4-074","刷","サツ","す"
"g4-076","察","サツ",
"g4-077","参","サン","まい"
"g4-078","産","サン","う"
"g4-079","散","サン","ち"
"g4-080","残","ザン","のこ"
"g4-082","氏","シ","うじ"
"g4-084","司","シ",
"g4-085","試","シ","こころ"
"g4-086","児","ジ","こ"
"g4-087","治","ジ","おさ"
"g4-088","辞","ジ","や"
"g4-089","失","シツ","うしな"
"g4-090","借","シャク","か"
"g4-091","種","シュ","たね"
"g4-092","周","シュウ","まわ"
"g4-093","祝","シュク","いわ"
"g4-094","順","ジュン",
"g4-095","初","ショ","はじ"
"g4-096","松","ショウ","まつ"
"g4-097","笑","ショウ","わら"
"g4-098","唱","ショウ","とな"
"g4-099","焼","ショウ","や"
"g4-101","照","ショウ","て"
"g4-103","臣","シン",
"g4-104","信","シン",
"g4-105","成","セイ","な"
"g4-106","省","セイ","はぶ"
"g4-107","清","セイ","きよ"
"g4-108","静","セイ","しず"
"g4-109","席","セキ",
"g4-110","積","セキ","つ"
"g4-111","折","セツ","お"
"g4-112","節","セツ","ふし"
"g4-113","説","セツ","と"
"g4-114","浅","セン","あさ"
"g4-115","戦","セン","たたか"
"g4-116","選","セン","えら"
"g4-117","然","ゼン",
"g4-118","争","ソウ","あらそ"
"g4-119","倉","ソウ","くら"
"g4-120","巣","ソウ","す"
"g4-121","束","ソク","たば"
"g4-122","側","ソク","がわ"
"g4-123","続","ゾク","つづ"
"g4-124","卒","ソツ",
"g4-125","孫","ソン","まご"
"g4-126","帯","タイ","おび"
"g4-127","隊","タイ",
"g4-128","達","タツ",
"g4-129","単","タン",
"g4-130","置","チ","お"
"g4-131","仲","チュウ","なか"
"g4-133","兆","チョウ","きざ"
"g4-135","低","テイ","ひく"
"g4-136","底","テイ","そこ"
"g4-138","的","テキ","まと"
"g4-139","典","テン",
"g4-140","伝","デン","つた"
"g4-141","徒","ト",
"g4-142","努","ド","つと"
"g4-143","灯","トウ","ひ"
"g4-145","働","ドウ","はたら"
"g4-146","特","トク",
"g4-149","熱","ネツ","あつ"
"g4-150","念","ネン",
"g4-151","敗","ハイ","やぶ"
"g4-152","梅","バイ","うめ"
"g4-153","博","ハク",
"g4-154","飯","ハン","めし"
"g4-155","飛","ヒ","と"
"g4-157","必","ヒツ","かなら"
"g4-158","票","ヒョウ",
"g4-159","標","ヒョウ",
"g4-160","不","フ",
"g4-161","夫","フ","おっと"
"g4-162","付","フ","つ"
"g4-163","府","フ",
"g4-164","副","フク",
"g4-166","兵","ヘイ",
"g4-167","別","ベツ","わか"
"g4-168","辺","ヘン","あた"
"g4-169","変","ヘン","か"
"g4-170","便","ベン","たよ"
"g4-171","包","ホウ","つつ"
"g4-172","法","ホウ",
"g4-173","望","ボウ","のぞ"
"g4-174","牧","ボク","まき"
