"g7-001","握","アク","にぎ"
"g7-002","扱",,"あつか"
"g7-003","依","イ",
"g7-004","威","イ",
"g7-005","為","イ",
"g7-006","偉","イ","えら"
"g7-007","維","イ",
"g7-008","緯","イ",
"g7-009","壱","イチ",
"g7-010","芋",,"いも"
"g7-011","陰","イン","かげ"
"g7-012","隠","イン","かく"
"g7-013","影","エイ","かげ"
"g7-014","鋭","エイ","するど"
"g7-015","超","エツ","こ"
"g7-016","援","エン",
"g7-017","煙","エン","けむり"
"g7-018","鉛","エン","なまり"
"g7-019","縁","エン","ふち"
"g7-020","汚","オ","けが"
"g7-021","押","オウ","お"
"g7-022","奥","オウ","おく"
"g7-023","憶","オク",
"g7-024","菓","カ",
"g7-025","暇","カ","ひま"
"g7-026","箇","カ",
"g7-027","雅","ガ",
"g7-028","介","カイ",
"g7-029","戒","カイ","いまし"
"g7-030","皆","カイ","みな"
"g7-031","壊","カイ","こわ"
"g7-032","較","カク",
"g7-033","獲","カク","え"
"g7-034","刈",,"か"
"g7-035","甘","カン","あま"
"g7-036","汗","カン","あせ"
"g7-037","乾","カン","かわ"
"g7-038","勧","カン","すす"
"g7-039","歓","カン",
"g7-040","監","カン",
"g7-041","環","カン",
"g7-042","鑑","カン","かんが"
"g7-043","含","ガン","ふく"
"g7-044","奇","キ",
"g7-045","祈","キ","いの"
"g7-046","鬼","キ","おに"
"g7-047","幾","キ","いく"
"g7-048","輝","キ","かがや"
"g7-049","儀","ギ",
"g7-050","戯","ギ","たわむ"
"g7-051","詰","キツ","つ"
"g7-052","却","キャク",
"g7-053","脚","キャク","あし"
"g7-054","及","キュウ","およ"
"g7-055","丘","キュウ","おか"
"g7-056","朽","キュウ","く"
"g7-057","巨","キョ",
"g7-058","拠","キョ",
"g7-059","距","キョ",
"g7-060","御","ギョ","おん"
"g7-061","凶","キョウ",
"g7-062","叫","キョウ","さけ"
"g7-063","狂","キョウ","くる"
"g7-064","況","キョウ",
"g7-065","狭","キョウ","せま"
"g7-066","恐","キョウ","おそ"
"g7-067","響","キョウ","ひび"
"g7-068","驚","キョウ","おどろ"
"g7-069","仰","ギョウ","あお"
"g7-070","駆","ク","か"
"g7-071","屈","クツ",
"g7-072","掘","クツ","ほ"
"g7-073","繰",,"く"
"g7-074","恵","ケイ","めぐ"
"g7-075","傾","ケイ","かたむ"
"g7-076","継","ケイ","つ"
"g7-077","迎","ゲイ","むか"
"g7-078","撃","ゲキ","う"
"g7-079","肩","ケン","かた"
"g7-080","兼","ケン","か"
"g7-081","剣","ケン","つるぎ"
"g7-082","軒","ケン","のき"
"g7-083","圏","ケン",
"g7-084","堅","ケン","かた"
"g7-085","遣","ケン","つか"
"g7-086","玄","ゲン",
"g7-087","枯","コ","か"
"g7-088","誇","コ","ほこ"
"g7-089","鼓","コ","つづみ"
"g7-090","互","ゴ","たが"
"g7-091","抗","コウ",
"g7-092","攻","コウ","せ"
"g7-093","更","コウ","さら"
"g7-094","恒","コウ",
"g7-095","荒","コウ","あら"
"g7-096","項","コウ",
"g7-097","稿","コウ",
"g7-098","豪","ゴウ",
"g7-099","込",,"こ"
"g7-100","婚","コン",
"g7-101","鎖","サ","くさり"
"g7-102","彩","サイ","いろど"
"g7-103","歳","サイ",
"g7-104","載載","サイ","の"
"g7-105","剤","ザイ",
"g7-099","咲",,"さ"
"g7-106","惨","サン","みじ"
"g7-099","旨","シ","むね"
"g7-107","伺","シ","うかが"
"g7-099","刺","シ","さ"
"g7-108","脂","シ","あぶら"
"g7-109","紫","シ","むらさき"
"g7-110","雌","シ","めす"
"g7-111","執","シッ","と"
"g7-112","芝",,"しば"
"g7-113","斜","シャ","なな"
"g7-114","煮","シャ","に"
"g7-115","釈","シャク",
"g7-116","寂","ジャク","さび"
"g7-117","朱","シュ",
"g7-118","狩","シュ","か"
"g7-119","趣","シュ","おもむき"
"g7-120","需","ジュ",
"g7-121","舟","シュウ","ふね"
"g7-122","秀","シュウ","ひい"
"g7-123","襲","シュウ","おそ"
"g7-124","柔","ジュウ","やわ"
"g7-125","獣","ジュウ","けもの"
"g7-126","瞬","シュン","またた"
"g7-127","旬","ジュン",
"g7-128","巡","ジュン","めぐ"
"g7-129","盾","ジュン","たて"
"g7-130","召","ショウ","め"
"g7-099","床","ショウ","とこ"
"g7-131","沼","ショウ","ぬま"
"g7-132","称","ショウ",
"g7-133","詳","ショウ","くわ"
"g7-134","丈","ジョウ","たけ"
"g7-135","畳","ジョウ","たたみ"
"g7-136","殖","ショク","ふ"
"g7-137","飾","ショク","かざ"
"g7-137","触","ショク","ふ"
"g7-138","侵","シン","おか"
"g7-139","振","シン","ふ"
"g7-140","浸","シン","ひた"
"g7-141","寝","シン","ね"
"g7-142","慎","シン","つつし"
"g7-143","震","シン","ふる"
"g7-099","薪","シン","たきぎ"
"g7-145","尽","ジン","つ"
"g7-146","陣","ジン",
"g7-147","尋","ジン","たず"
"g7-148","吹","スイ","ふ"
"g7-149","是","ゼ",
"g7-150","姓","セイ",
"g7-151","征","セイ",
"g7-152","跡","セキ","あと"
"g7-153","占","セン","し"
"g7-154","扇","セン","おうぎ"
"g7-155","鮮","セン","あざ"
"g7-156","訴","ソ","うった"
"g7-157","僧","ソウ",
"g7-158","燥","ソウ",
"g7-159","騒","ソウ","さわ"
"g7-160","贈","ゾウ","おく"
"g7-161","即","ソク",
"g7-162","俗","ゾク",
"g7-163","耐","タイ","た"
"g7-164","替","タイ","か"
"g7-165","沢","タク","さわ"
"g7-166","拓","タク",
"g7-167","濁","ダク","にご"
"g7-168","脱","ダツ","ぬ"
"g7-169","丹","タン",
"g7-170","淡","タン","あわ"
"g7-171","嘆","タン","なげ"
"g7-172","端","タン","はし"
