"g1-001","一","イチ;イツ","ひと","かずのはじめ・ひとつ",""
"g1-002","右","ウ;ユウ","みぎ","ひだりの はんたいがわ",""
"g1-003","雨","ウ","あめ","そらから ふる みず",""
"g1-004","円","エン","まる","まるい かたち・おかねの たんい",""
"g1-005","王","オウ","","いちばん えらい ひと",""
"g1-006","音","オン;イン","おと","みみで きこえるもの",""
"g1-007","下","カ;ゲ","した","うえの はんたい・ひくいところ",""
"g1-008","火","カ","ひ","あかくて あつい もえるもの",""
"g1-009","花","カ;ケ","はな","きれいに さくもの",""
"g1-010","貝","バイ","かい","うみに いる からをもつ いきもの",""
"g1-011","学","ガク","まな","あたらしいことを おぼえる",""
"g1-012","気","キ;ケ","","いきるための ちから・くうき",""
"g1-013","九","キュウ;ク","ここの","はちの つぎの かず",""
"g1-014","休","キュウ","やす","しごとや べんきょうを しないこと",""
"g1-015","玉","ギョク","たま","まるくて ひかるもの",""
"g1-016","金","キン;コン;ゴン","かね","きいろく ひかる きんぞく・おかね",""
"g1-017","空","クウ","そら","あおくて ひろいもの・なにもないこと",""
"g1-018","月","ゲツ;ガツ","つき","よるに でる ひかり・カレンダーのつき",""
"g1-019","犬","ケン","いぬ","ワンワンなく どうぶつ",""
"g1-020","見","ケン","み","めを つかって みること",""
"g1-021","五","ゴ","いつ","よんの つぎの かず",""
"g1-022","口","コウ;ク","くち","たべたり はなしたりするところ",""
"g1-023","校","コウ","","まなびや・べんきょうするところ",""
"g1-024","左","サ;シャ","ひだり","みぎの はんたいがわ",""
"g1-025","三","サン;ゾウ","み","にの つぎの かず",""
"g1-026","山","サン;セン","やま","じめんが たかくなったところ",""
"g1-027","子","シ;ス","こ","おさないひと・どうぶつのこども",""
"g1-028","四","シ","よん","さんの つぎの かず",""
"g1-029","糸","シ","いと","ぬうときにつかう ほそいもの",""
"g1-030","字","ジ","あざ","かくための しるし・もじ",""
"g1-031","耳","ジ","みみ","おとを きくところ",""
"g1-032","七","シチ","なな","ろくの つぎの かず",""
"g1-033","車","シャ","くるま","はしるための のりもの",""
"g1-034","手","シュ;ズ","て","ものを つかむところ",""
"g1-035","十","ジュウ;ジッ;ジュッ","とお","きゅうの つぎの かず",""
"g1-036","出","シュツ;スイ","で","うちから そとへ いくこと",""
"g1-037","女","ジョ;ニョ;ニョウ","おんな","おんなのひと",""
"g1-038","小","ショウ","ちい","おおきくないこと",""
"g1-039","上","ジョウ;ショウ;シャン","うえ","したの はんたい・たかいところ",""
"g1-040","森","シン","もり","たくさんの木（き）が あるところ",""
"g1-041","人","ジン;ニン","ひと","わたしたちのこと",""
"g1-042","水","スイ","みず","のんだり あらったりするもの",""
"g1-043","正","セイ;ショウ","ただ","まちがっていないこと",""
"g1-044","生","セイ;ショウ","い","いのち・そだつこと",""
"g1-045","青","セイ;ショウ","あお","そらや うみの いろ",""
"g1-046","夕","セキ","ゆう","ひが しずむ ころ",""
"g1-047","石","セキ;シャク;コク","いし","かたくて ちいさな いわ",""
"g1-048","赤","セキ;シャク","あか","トマトや りんごの いろ",""
"g1-049","千","セン","ち","百（ヒャク）が とお あつまったかず",""
"g1-050","川","セン","かわ","みずが ながれるところ",""
"g1-051","先","セン","さき","まえ・じかんてきに はやいこと",""
"g1-052","早","ソウ;サッ","はや","じかんが かからないこと",""
"g1-053","草","ソウ","くさ","にわや のはらに はえる しょくぶつ",""
"g1-054","足","ソク","あし","あるくときに つかうからだのぶぶん",""
"g1-055","村","ソン","むら","いえがいくつか あつまっているところ",""
"g1-056","大","ダイ;タイ","おお","ちいさくないこと・サイズがおおきい",""
"g1-057","男","ダン;ナン","おとこ","おんなの はんたいのひと",""
"g1-058","竹","チク","たけ","まっすぐで ながい くきをもつ しょくぶつ",""
"g1-059","中","チュウ","なか","そとではない ところ・まんなか",""
"g1-060","虫","チュウ;キ","むし","ちいさな いきもの",""
"g1-061","町","チョウ","まち","ひとや みせが あつまるにぎやかなところ",""
"g1-062","天","テン","あめ","そら・おてんき",""
"g1-063","田","デン","た","おこめを つくるところ",""
"g1-064","土","ド;ト","つち","じめん・しょくぶつが そだつところ",""
"g1-065","二","ニ;ジ","ふた","いちの つぎの かず",""
"g1-066","日","ニチ;ジツ","ひ","たいよう・いちにち",""
"g1-067","入","ニュウ;ジュ","はい","そとから なかへ うつること",""
"g1-068","年","ネン","とし","一年（いちねん）かんのこと",""
"g1-069","白","ハク;ビャク","しろ","くろの はんたいの いろ・ゆきのいろ",""
"g1-070","八","ハチ;ハツ","やっ","ななの つぎの かず",""
"g1-071","百","ヒャク;ビャク","もも","じゅうが とお あつまったかず",""
"g1-072","文","ブン;モン","ふみ","ことばを かきあらわしたもの",""
"g1-073","木","ボク;モク","き","はっぱや えだがある しょくぶつ",""
"g1-074","本","ホン","もと","よむためのもの・おおもと",""
"g1-075","名","メイ;ミョウ","な","ひとや ものの よびな",""
"g1-076","目","モク;ボク","め","ものを みるための からだのぶぶん",""
"g1-077","立","リツ;リュウ;リットル","た","じめんに まっすぐたつこと",""
"g1-078","力","リキ;リョク","ちから","ものを うごかす はたらき",""
"g1-079","林","リン","はやし","木（き）が たくさん あつまっているところ",""
"g1-080","六","ロク;リク","む","ごの つぎの かず",""
