id,Kanji,Onyomi,Kunyomi
g2-001,引,イン,ひ
g2-002,羽,ウ,はね;は
g2-003,雲,ウン,くも
g2-004,園,エン,その
g2-005,遠,エン,とお
g2-006,何,カ,なに;なん
g2-007,科,カ,
g2-008,夏,カ;ゲ,なつ
g2-009,家,カ;ケ,いえ;や
g2-010,歌,カ,うた
g2-011,画,ガ;カク,
g2-012,回,カイ,まわ
g2-013,会,カイ,あ
g2-014,海,カイ,うみ
g2-015,絵,カイ;エ,
g2-016,外,ガイ;ゲ,そと;はず;ほか
g2-017,角,カク,つの;かど
g2-018,楽,ガク;ラク,たの
g2-019,活,カツ,い
g2-020,間,カン;ケン,あいだ;ま
g2-021,丸,ガン,まる
g2-022,岩,ガン,いわ
g2-023,顔,ガン,かお
g2-024,汽,キ,
g2-025,記,キ,しる
g2-026,帰,キ,かえ
g2-027,弓,キュウ,ゆみ
g2-028,牛,ギュウ,うし
g2-029,魚,ギョ,さかな;うお
g2-030,京,キョウ;ケイ,
g2-031,強,キョウ;ゴウ,つよ
g2-032,教,キョウ,おし;おそ
g2-033,近,キン,ちか
g2-034,兄,キョウ;ケイ,あに
g2-035,形,ケイ;ギョウ,かたち;かた
g2-036,計,ケイ,はか
g2-037,元,ゲン;ガン,もと
g2-038,言,ゲン;ゴン,い;こと
g2-039,原,ゲン,はら
g2-040,戸,ト,こ
g2-041,古,コ,ふる
g2-042,午,ゴ,うま;ひる
g2-043,後,ゴ;コウ,うしろ;あと;のち;おく
g2-044,語,ゴ,かた
g2-045,工,コウ;ク,
g2-046,公,コウ,おおやけ
g2-047,広,コウ,ひろ
g2-048,交,コウ,まじ;ま
g2-049,光,コウ,ひかり;ひか
g2-050,考,コウ,かんが
g2-051,行,コウ;ギョウ,い;ゆ;おこな
g2-052,高,コウ,たか
g2-053,黄,オウ;コウ,き;こ
g2-054,合,ゴウ;ガッ;カッ,あ
g2-055,谷,こく,たに
g2-056,国,コク,くに
g2-057,黒,コク,くろ
g2-058,今,コン,いま
g2-059,才,サイ,
g2-060,細,サイ,ほそ;こま
g2-061,作,サク;サ,つく
g2-062,算,サン,
g2-063,止,シ,と
g2-064,市,シ,いち
g2-065,矢,シ,や
g2-066,姉,シ,あね
g2-067,思,シ,おも
g2-068,紙,シ,かみ
g2-069,寺,ジ,てら
g2-070,自,ジ;シ,みずか
g2-071,時,ジ,とき
g2-072,室,シツ,むろ
g2-073,社,シャ,やしろ
g2-074,弱,ジャク,よわ
g2-075,首,シュ,くび
g2-076,秋,シュウ,あき
g2-077,週,シュウ,
g2-078,春,シュン,はる
g2-079,書,ショ,か
g2-080,少,ショウ,すく;すこ
g2-081,場,ジョウ,ば
g2-082,色,ショク;シキ,いろ
g2-083,食,ショク,た;く
g2-084,心,シン,こころ
g2-085,新,シン,あたら;あら;にい
g2-086,親,シン,おや;した
g2-087,図,ズ;ト,はか
g2-088,数,スウ,かず;かぞ
g2-089,西,セイ;サイ,にし
g2-090,声,セイ,こえ
g2-091,星,セイ,ほし
g2-092,晴,セイ,は
g2-093,切,セツ,き
g2-094,雪,セツ,ゆき
g2-095,船,セン,ふね;ふな
g2-096,線,セン,
g2-097,前,ゼン,まえ
g2-098,組,ソ,くみ;く
g2-099,走,ソウ,はし
g2-100,多,タ,おお
g2-101,太,タイ;タ,ふと
g2-102,体,タイ,からだ
g2-103,台,ダイ;タイ,
g2-104,地,チ;ジ,
g2-105,池,チ,いけ
g2-106,知,チ,し
g2-107,茶,チャ;サ,
g2-108,昼,チュウ,ひる
g2-109,長,チョウ,なが
g2-110,鳥,チョウ,とり
g2-111,朝,チョウ,あさ
g2-112,直,チョク;ジキ,なお;ただ
g2-113,通,ツウ,とお;かよ
g2-114,弟,ダイ;テイ,おとうと
g2-115,店,テン,みせ
g2-116,点,テン,
g2-117,電,デン,
g2-118,刀,トウ,かたな
g2-119,冬,トウ,ふゆ
g2-120,当,トウ,あ
g2-121,東,トウ,ひがし
g2-122,答,トウ,こた
g2-123,頭,トウ;ズ,あたま;かしら
g2-124,同,ドウ,おな
g2-125,道,ドウ,みち
g2-126,読,ドク;トク;トウ,よ
g2-127,内,ナイ,うち
g2-128,南,ナン,みなみ
g2-129,肉,ニク,
g2-130,馬,バ,うま;ま
g2-131,売,バイ,う
g2-132,買,バイ,か
g2-133,麦,バク,むぎ
g2-134,半,ハン,なか
g2-135,番,バン,
g2-136,父,フ,ちち
g2-137,風,フウ,かぜ;かざ
g2-138,分,フン;ブン;ブ,わ
g2-139,聞,ブン,き
g2-140,米,ベイ;マイ,こめ
g2-141,歩,ホ,あゆ
g2-142,母,ボ,はは
g2-143,方,ホウ,かた
g2-144,北,ホク,きた
g2-145,毎,マイ,
g2-146,妹,マイ,いもうと
g2-147,万,マン;バン,
g2-148,明,メイ;ミョウ,あか
g2-149,鳴,メイ,な
g2-150,毛,モウ,け
g2-151,門,モン,かど
g2-152,夜,ヤ,よる;よ
g2-153,野,ヤ,の
g2-154,友,ユウ,とも
g2-155,用,ヨウ,もち
g2-156,曜,ヨウ,
g2-157,来,ライ,く
g2-158,里,リ,さと
g2-159,理,リ,
g2-160,話,ワ,はな
