id,kanji,onyomi,kunyomi,kanji,meaning,yomi,example
g5-001,圧,アツ,,圧,押し付ける力,あつ,風圧(ふうあつ)で旗(はた)が大きく揺(ゆ)れた。  
g5-002,移,イ,うつ,移,場所を変えること,い,引越(ひっこ)しで家具(かぐ)を新居(しんきょ)に移(うつ)した。  
g5-003,因,イン,よ,因,原因,いん,地震(じしん)が停電(ていでん)の原因(げんいん)だった。  
g5-004,永,エイ,なが,永,長くつづくこと,えい,永遠(えいえん)の友情(ゆうじょう)を誓(ちか)った。  
g5-005,営,エイ,いとな,営,事業などを行うこと,えい,公園(こうえん)の催物(もよおし)営(いとな)みを見学した。  
g5-006,衛,エイ,,衛,守ること,えい,手洗(てあら)いで衛生(えいせい)を保(たも)った。  
g5-007,易,エキ;イ,やさ,易,やさしいこと,えき,容易(ようい)な問題(もんだい)が解(と)けて嬉(うれ)しい。  
g5-008,益,エキ;ヤク,,益,役に立つこと,えき,ボランティア活動(かつどう)が地域(ちいき)に利益(りえき)をもたらした。  
g5-009,液,エキ,,液,液体,えき,液体(えきたい)のインクがペンから漏(も)れた。  
g5-010,演,エン,,演,演じること,えん,演劇(えんげき)部が新作(しんさく)を上演(じょうえん)した。  
g5-011,応,オウ,こた,応,こたえること,おう,問題に対する応答(おうとう)を発表した。  
g5-012,往,オウ,ゆ,往,行ったり来たりすること,おう,遠足(えんそく)は往復(おうふく)で楽しんだ。  
g5-013,桜,オウ,さくら,桜,さくらの木,さくら,公園の桜並木(さくらなみき)が満開(まんかい)だ。  
g5-015,可,カ,,可,よいと認めること,か,学級会で提案(ていあん)が可決(かけつ)され喜んだ。  
g5-016,仮,カ;ケ,かり,仮,いっときのこと,か,仮設(かせつ)道路を通って学校に行った。  
g5-017,価,カ,あたい,価,値段・価値,か,新しいゲームの価格(かかく)を調べて買った。  
g5-018,河,カ,かわ,河,川のこと,か,大きな河川(かせん)でカヌー体験を楽しんだ。  
g5-019,過,カ,す;あやま,過,すぎること,か,宿題を過去(かこ)の資料と比べて直した。  
g5-021,快,カイ,こころよ,快,ここちよい,かい,梅雨の晴天が快適(かいてき)な空気を運んだ。  
g5-022,解,カイ,と,解,ほどく・わかる,かい,難問の解答(かいとう)をグループで討議した。  
g5-023,格,カク;コウ,,格,物事の程度・形式,かく,テストに合格(ごうかく)して大喜びした。  
g5-024,確,カク,たし,確,たしかなこと,かく,宿題の提出日を確認(かくにん)してメモした。  
